6773.thousand_nights_vol07_29_burton_64kb_0|“Do what seemeth good to thee.
4062.mrwhickerswindow_04_dawson_64kb_40|"I am a new man.
4062.mrwhickerswindow_04_dawson_64kb_41|"You have saved me again. Ah! Mistress Becky, what a treasure you are!"
4062.mrwhickerswindow_04_dawson_64kb_42|"That will be the master,
4062.mrwhickerswindow_04_dawson_64kb_43|"I shall be back, Master Cilley! I pray you, do not leave!"
4062.mrwhickerswindow_04_dawson_64kb_44|"Please, Master Cilley,
4062.mrwhickerswindow_04_dawson_64kb_45|"Why does she wear that queer hat?"
4062.mrwhickerswindow_22_dawson_64kb_0|"Men, you have followed me for many a voyage and I have always brought you safely home. Is it not so?"
4062.mrwhickerswindow_22_dawson_64kb_1|"What lies ahead of us in the next few hours will not make good sense to many of you. Nevertheless I ask for your instant help, and you shall see what lies at the end of my orders when we reach that time. Are you with me?"
4062.mrwhickerswindow_22_dawson_64kb_2|"Well and good,
4062.mrwhickerswindow_22_dawson_64kb_3|"I thank you. Now crowd on all the sail she will take, boys, for the Venture follows hard upon us!"
4062.mrwhickerswindow_22_dawson_64kb_4|"It would be my advice, lad, to go below and sleep for a bit. You too, Amos. I shall send Ned to awaken you when land is sighted."
4062.mrwhickerswindow_22_dawson_64kb_5|"Best eat up, lads,
4062.mrwhickerswindow_22_dawson_64kb_6|"and join the Captain, sez he to me, for land is just ahead and the Captain do be waiting you on the bridge, Chris, me lad."
4062.mrwhickerswindow_22_dawson_64kb_7|"Impossible to tell how close behind the Venture may be. We have come quickly, but they have the faster ship. I have no wish to give them more clue than necessary as to where we may be.
4062.mrwhickerswindow_22_dawson_64kb_8|"Land is off the starboard quarter, and Abner Cloud is out on the bowsprit looking for the reef. We have passed our anchorage -- they expected us, or some other ship, for fires were lit on shore. Sail has been taken in; we are going slowly and will soon be there, by my reckoning."
4062.mrwhickerswindow_22_dawson_64kb_9|"May I go forward and be with Abner?
4062.mrwhickerswindow_22_dawson_64kb_10|"and hurry. Happen your eyes are sharper than Abner's. Sing out when you spy the reef. We will heave to, and then God be with you, my lad, to find us out the channel to the cove!"
4062.mrwhickerswindow_22_dawson_64kb_11|"Heave-ho!
4062.mrwhickerswindow_22_dawson_64kb_12|"Drop anchor, lads!"
4062.mrwhickerswindow_22_dawson_64kb_13|"I've found the channel, sir,
4062.mrwhickerswindow_22_dawson_64kb_14|"There's a dangerous shelf of coral that juts out on the port side -- if you let me go first, and the men man the boats and row her in, I think we shall do it safely even in this light."
4062.mrwhickerswindow_22_dawson_64kb_15|"Well lad, we do what we must, and you and I understand one another. Ahoy there!
4062.mrwhickerswindow_22_dawson_64kb_16|"Man the boats! We shall tow the Mirabelle to cover, for there's a channel here!"
4062.mrwhickerswindow_22_dawson_64kb_17|"Now Christopher, my boy, do you go down and go over the side again, and remember what we spoke of a few hours agone!"
4062.mrwhickerswindow_22_dawson_64kb_18|"The length of two boats, keeping to starboard, boys. Then ease her over this way -- to port."
4062.mrwhickerswindow_22_dawson_64kb_19|"My good lad,
4062.mrwhickerswindow_22_dawson_64kb_20|"you said you could do it, but truth to tell, I doubted it from the bottom of my heart. Now that you have succeeded where I am sure no other could have done as well, I find I have no words of praise good enough for ye.
4062.mrwhickerswindow_22_dawson_64kb_21|"I am proud of you, Christopher. You did a man's task with a boy's body and mind. And it took a man's spirit, too."
4062.mrwhickerswindow_22_dawson_64kb_22|"Now, me boy,
4062.mrwhickerswindow_22_dawson_64kb_23|"do you go to your well-deserved rest. Depend upon it, we shall cover the ship with green until she looks like the proverbial Christmas hall decked with boughs of holly, as the song goes!
4062.mrwhickerswindow_22_dawson_64kb_24|"A little later in the day you shall be called to see what you make of the result. And now, to bed with ye both!
4062.mrwhickerswindow_14_dawson_64kb_0|"what has happened here? You all look angry and somewhat a-frighted. What occurred, Ned?
4062.mrwhickerswindow_14_dawson_64kb_1|"But truly sir,
4062.mrwhickerswindow_14_dawson_64kb_2|"I never saw anything like Osterbridge Hawsey before. He's a dilly!"
4062.mrwhickerswindow_14_dawson_64kb_3|"What a fortunate coincidence that I happened by just at this time,
4062.mrwhickerswindow_14_dawson_64kb_4|"and that I have with me such an excellent ointment.
4062.mrwhickerswindow_14_dawson_64kb_5|"This will help to stop the bleeding, my boy,
4062.mrwhickerswindow_14_dawson_64kb_6|"and take away the pain. It hastens the cure,
4062.mrwhickerswindow_14_dawson_64kb_7|"In an hour you will scarcely know it happened,
4062.mrwhickerswindow_14_dawson_64kb_8|"I have set you too great a task, my poor Christopher, for you are but a boy.
4062.mrwhickerswindow_14_dawson_64kb_9|"You are a boy, but what lies before you is a man's task, and no mistake. You cannot in the future allow yourself the luxury of such childish enjoyments as a laugh at Claggett Chew, or his friend!"
4062.mrwhickerswindow_14_dawson_64kb_10|"I know that now sir,
4062.mrwhickerswindow_14_dawson_64kb_11|"I asked for trouble that time."
4062.mrwhickerswindow_14_dawson_64kb_12|"Yes,
4062.mrwhickerswindow_14_dawson_64kb_13|"You did. Too bad,
4062.mrwhickerswindow_14_dawson_64kb_14|"The laughter you could not resist has meant that you came forcibly to Claggett Chew's notice in such a way that you will never be forgotten.
4062.mrwhickerswindow_14_dawson_64kb_15|"I saw it happening while I was in my study, but could not warn you in time,
4062.mrwhickerswindow_14_dawson_64kb_16|"So I came down with the ointment for your poisoned wound."
4062.mrwhickerswindow_14_dawson_64kb_17|"Poisoned wound, sir?
4062.mrwhickerswindow_14_dawson_64kb_18|"Yes. Sometimes Mr. Chew has a way of wiping poison onto the metal tip of his whip. It is a slow poison -- it does not take effect for days or weeks. In fact, so long after his lash that no one attributes the whip cut to the death that finally follows. Never fear,
4062.mrwhickerswindow_14_dawson_64kb_19|"the ointment I have put on will take care of that too, and your cut will be closed and healed before the day is over. What is unfortunately more lasting,
4062.mrwhickerswindow_14_dawson_64kb_20|"is Mr. Chew's memory. Well
4062.mrwhickerswindow_14_dawson_64kb_21|"there's no help for what is done. Use caution in the future, Christopher. That is all I ask."
4062.mrwhickerswindow_14_dawson_64kb_22|"I shall, sir!
4062.mrwhickerswindow_14_dawson_64kb_23|"Enjoy yourself the rest of the day, my boy,
4062.mrwhickerswindow_14_dawson_64kb_24|"But be constantly on the alert and look in all directions. Here,
4062.mrwhickerswindow_14_dawson_64kb_25|"take these few coins in case you should need them. Now find Amos, and be off with you!"
4062.mrwhickerswindow_14_dawson_64kb_26|"What you-all looking for?
4062.mrwhickerswindow_14_dawson_64kb_27|"Just something I hoped I'd find,
4062.mrwhickerswindow_02_dawson_64kb_0|"Old Wicker's got a sign in his window -- he needs a boy. For after school, I guess. Think he'd pay, huh? Whyncha try?"
4062.mrwhickerswindow_02_dawson_64kb_1|"Oh -- I don't know."
4062.mrwhickerswindow_02_dawson_64kb_2|"Well, I'll tell you what. Know who needs a job bad? That's Jakey Harris. His mother's sick, and he's got that bad foot. Whyncha ask for him, huh? You sit next to him at school."
4062.mrwhickerswindow_02_dawson_64kb_3|"Only why didn't you ask him yourself?"
4062.mrwhickerswindow_02_dawson_64kb_4|"I did. Wicker's such a queer old guy. That ol' antique shop is dark an' spooky, an' -- Well, I went in, and there wasn't nobody there, on'y him and me."
4062.mrwhickerswindow_02_dawson_64kb_5|"So I said I was there about the job, an' do you know what he said? He said
4062.mrwhickerswindow_02_dawson_64kb_6|"He said, 'Turn around and look out that window, son, and tell me what you see.'"
4062.mrwhickerswindow_02_dawson_64kb_7|"Everybody knows what's outside his window!
4062.mrwhickerswindow_02_dawson_64kb_8|"Of all the silly things! But I turned around and looked, like he told me to, and of course there was the traffic goin' by, and trucks, and cabs, and people crossin' the street, and the freeway overhead, an' -- you know."
4062.mrwhickerswindow_02_dawson_64kb_9|"So what did he say?
4062.mrwhickerswindow_02_dawson_64kb_10|"Oh, he just smiled, that funny little crackly smile, and said, 'I'm sorry, young man, you won't do.'"
4062.mrwhickerswindow_02_dawson_64kb_11|"Queerest thing I ever heard. Gee! Whaddaya suppose?"
4062.mrwhickerswindow_02_dawson_64kb_12|"It doesn't make sense, but old Wicker's so old he may be addled, don't you reckon? Who else would keep an antique store where nobody ever looks? All the other antique places are along Wisconsin Avenue where people go to shop."
4062.mrwhickerswindow_02_dawson_64kb_13|"You reckon Jakey really could use the job?
4062.mrwhickerswindow_02_dawson_64kb_14|"Think he really needs it?
4062.mrwhickerswindow_02_dawson_64kb_15|"You bet he does! He tol' me at noon today he wished he could find something that would help bring some money in. His mother's sick,
4062.mrwhickerswindow_02_dawson_64kb_16|"an' Jakey don' look so good himself."
4062.mrwhickerswindow_02_dawson_64kb_17|"Are you coming?
4062.mrwhickerswindow_02_dawson_64kb_18|"I'm coming. I'll ask for Jakey."
4062.mrwhickerswindow_02_dawson_64kb_19|"Betcha aren't goin' after all!"
4062.mrwhickerswindow_02_dawson_64kb_20|"Aw -- you're stalling!"
4062.mrwhickerswindow_02_dawson_64kb_21|"Not any sucha thing. I'm going now."
4062.mrwhickerswindow_02_dawson_64kb_22|"O.K. Let's see you."
4062.mrwhickerswindow_02_dawson_64kb_23|"You said you were coming with me!"
4062.mrwhickerswindow_02_dawson_64kb_24|"Well, I was,
4062.mrwhickerswindow_02_dawson_64kb_25|"but I just remembered. My mother told me to bring her some stuff from the Safeway. I'll run all the way and come back and meet you."
4062.mrwhickerswindow_02_dawson_64kb_26|"Aw shucks!
4062.mrwhickerswindow_02_dawson_64kb_27|"I'll meetcha in fifteen or twenty minutes,
4062.mrwhickerswindow_18_dawson_64kb_0|"Be of good heart, Amos,
4062.mrwhickerswindow_18_dawson_64kb_1|"and look after young Christopher as best you can."
4062.mrwhickerswindow_18_dawson_64kb_2|"Yessir, I will!
4062.mrwhickerswindow_18_dawson_64kb_3|"All is well understood?
4062.mrwhickerswindow_18_dawson_64kb_4|"This is no time for misunderstandings!"
4062.mrwhickerswindow_18_dawson_64kb_5|"Aye aye, sir! All is clear!
4062.mrwhickerswindow_18_dawson_64kb_6|"Then Godspeed to you all and bring you safely home,
4062.mrwhickerswindow_18_dawson_64kb_7|"Be on the lookout for this lad, Ned, when you get past the bar."
4062.mrwhickerswindow_18_dawson_64kb_8|"and good luck to the two of ye!"
4062.mrwhickerswindow_18_dawson_64kb_9|"Come, Christopher,
4062.mrwhickerswindow_18_dawson_64kb_10|"First, wind the rope about your waist, and once on board, bind it under your shirt. Let no one, not even Amos, know of it."
4062.mrwhickerswindow_18_dawson_64kb_11|"Here are some oddments of magic that may prove their usefulness,
4062.mrwhickerswindow_18_dawson_64kb_12|"Wear them about your neck.
4062.mrwhickerswindow_18_dawson_64kb_13|"What happens to the rope and pouch when I change my shape, sir?
4062.mrwhickerswindow_18_dawson_64kb_14|"They will remain with you, have no fear of that,
4062.mrwhickerswindow_18_dawson_64kb_15|"What would be the use of magic if it proved unable to adjust itself?
4062.mrwhickerswindow_18_dawson_64kb_16|"So, all is ready,
4062.mrwhickerswindow_18_dawson_64kb_17|"Now we must be off and lose no time, for we have much ahead of us,
4062.mrwhickerswindow_18_dawson_64kb_18|"What I wouldn't give for a flashlight!
4062.mrwhickerswindow_18_dawson_64kb_19|"Yes, the twentieth century has many conveniences,
4062.mrwhickerswindow_18_dawson_64kb_20|"The anchor may have dragged,
4062.mrwhickerswindow_18_dawson_64kb_21|"Now for our boat!"
4062.mrwhickerswindow_18_dawson_64kb_22|"I shall see that the men sleep soundly,
4062.mrwhickerswindow_18_dawson_64kb_23|"You do the rest."
4062.mrwhickerswindow_18_dawson_64kb_24|"I shall, sir!
4062.mrwhickerswindow_18_dawson_64kb_25|"Look sir -- the Mirabelle!"
4062.mrwhickerswindow_18_dawson_64kb_26|"Then quick!
4062.mrwhickerswindow_18_dawson_64kb_27|"We took too long! It seems we are a trifle late!"
4062.mrwhickerswindow_18_dawson_64kb_28|"is the place marked?
4062.mrwhickerswindow_18_dawson_64kb_29|"Hup! Oh dear! the hiccups!
4062.mrwhickerswindow_18_dawson_64kb_30|"Let me have more wine!"
4062.mrwhickerswindow_18_dawson_64kb_31|"Mark it -- hic! -- Claggett. You may forget. All those -- hup! -- walls, to get over, or -- hic! under.
4062.mrwhickerswindow_18_dawson_64kb_32|"Oh dear! Hic! Think of those jewels, Claggett! Hup! Devil take these hiccups!
4062.mrwhickerswindow_18_dawson_64kb_33|"Claggett!
4062.mrwhickerswindow_18_dawson_64kb_34|"Are you asleep, or angry, or -- ? Hic! -- Put a cross where the Tree is, I say! I want those -- hup! -- jewels, Claggett, and so do you! Hic!"
4062.mrwhickerswindow_18_dawson_64kb_35|"There!
4062.mrwhickerswindow_18_dawson_64kb_36|"will that shut you up?"
4062.mrwhickerswindow_18_dawson_64kb_37|"I smell him!
4062.mrwhickerswindow_18_dawson_64kb_38|"He's here! Hullo! Night watchman!
